parameter;label;unit;parameter_category
BA300;HAUTEUR MINIMALE DE LA COUCHE >300M AVEC UNE NÉBULOSITÉ MAXI > 4/8;m;
BROU;OCCURRENCE DE BROUILLARD QUOTIDIENNE;bool;
BRUME;OCCURRENCE DE BRUME QUOTIDIENNE;bool;
DG;DUREE DE GEL QUOTIDIENNE;min;
DHUMEC;DUREE HUMECTATION QUOTIDIENNE;min;
DHUMI40;DUREE HUMIDITE <= 40% QUOTIDIENNE;min;
DHUMI80;DUREE HUMIDITE >= 80% QUOTIDIENNE;min;
DIFT;RAYONNEMENT DIFFUS QUOTIDIEN;JOULES/CM2;
DIRT;RAYONNEMENT DIRECT QUOTIDIEN;JOULES/CM2;
DRR;DUREE DES PRECIPITATIONS QUOTIDIENNES;min;
DXI;DIRECTION VENT MAXI INSTANTANE QUOTIDIEN;Rose 360°;
DXI2;DIRECTION DU VENT INSTANTANE MAXI QUOTIDIEN A 2 M;Rose 360°;
DXI3S;DIRECTION DU VENT INSTANTANÉ SUR 3 SECONDES;Rose 360°;
DXY;DIRECTION VENT QUOTIDIEN MAXI MOYENNE SUR 10 MIN ;Rose 360°;
ECLAIR;OCCURRENCE ECLAIR QUOTIDIENNE;bool;
ETPGRILLE;ETP CALCULEE AU POINT DE GRILLE LE PLUS PROCHE;mm;
ETPMON;EVAPO-TRANSPIRATION MONTEITH QUOTIDIENNE;mm;
FF2M;MOYENNE DES VITESSES DU VENT A 2 METRES QUOTIDIENNE;m/s;
FFM;MOYENNE DES VITESSES DU VENT A 10M QUOTIDIENNE;m/s;Vent
FUMEE;OCCURRENCE DE FUMEE QUOTIDIENNE;bool;
FXI;VITESSE VENT MAXI INSTANTANE QUOTIDIENNE;m/s;Vent
FXI2;VITESSE DU VENT INSTANTANE MAXI QUOTIDIEN A 2 M;m/s;
FXI3S;VITESSE DU VENT INSTANTANÉ SUR 3 SECONDES, MAXI DANS L’HEURE;m/s;
FXY;VITESSE VENT QUOTIDIEN MAXI MOYENNE SUR 10 MIN ;m/s;Vent
GELEE;OCCURRENCE DE GELEE QUOTIDIENNE;bool;
GLOT;RAYONNEMENT GLOBAL QUOTIDIEN;J/cm2;
GRELE;OCCURRENCE DE GRELE QUOTIDIENNE;bool;
GRESIL;OCCURENCE DE GRESIL QUOTIDIENNE;bool;
HNEIGEF;HAUTEUR DE NEIGE TOMBEE EN 24H;cm;
HTN;HEURE DU TN SOUS ABRI QUOTIDIENNE;hhmm;
HTX;HEURE DU TX SOUS ABRI QUOTIDIENNE;hhmm;
HUN;HEURE DU MINI D'HUMIDITE QUOTIDIENNE;hhmm;
HUX;HEURE DU MAXI D'HUMIDITE QUOTIDIENNE;hhmm;
HXI;HEURE VENT MAXI INSTANTANE QUOTIDIEN;hhmm;
HXI2;HEURE DU VENT MAX INSTANTANE A 2 M QUOTIDIENNE;hhmm;
HXI3S;HEURE DU VENT INSTANTANÉ SUR 3 SECONDES;hhmm;
HXY;HEURE VENT QUOTIDIEN MAXI MOYENNE SUR 10 MIN ;hhmm;
INFRART;SOMME DES RAYONNEMENTS IR HORAIRE;J/cm2;
INST;DUREE D'INSOLATION QUOTIDIENNE;min;Ensoleillement
NB300;NÉBULOSITÉ MAXIMALE > 4/8 D’UNE COUCHE < 300 M;octas;
NEIG;OCCURRENCE DE NEIGE QUOTIDIENNE;bool;
NEIGETOT06;EPAISSEUR DE NEIGE TOTALE RELEVEE A 0600 FU;cm;
NEIGETOTX;MAXIMUM QUOTIDIEN DES EPAISSEURS DE NEIGE TOTALE HORAIRE;cm;Neige
ORAG;OCCURRENCE D'ORAGE QUOTIDIENNE;bool;
PMERM;PRESSION MER MOYENNE QUOTIDIENNE;hPa;
PMERMIN;PRESSION MER MINIMUM QUOTIDIENNE;hPa;
ROSEE;OCCURRENCE DE ROSEE QUOTIDIENNE;bool;
RR;HAUTEUR DE PRECIPITATIONS QUOTIDIENNE;mm;Précipitations
SIGMA;RAPPORT INSOLATION QUOTIDIEN;%;
SOLNEIGE;OCCURRENCE DE SOL COUVERT DE NEIGE;bool;
TAMPLI;AMPLITUDE ENTRE TN ET TX QUOTIDIEN;° C;
TM;TEMPERATURE MOYENNE SOUS ABRI QUOTIDIENNE;° C;Température
TMERMAX;TEMPERATURE MAXIMALE QUOTIDIENNE DE L'EAU DE MER;° C;
TMERMIN;TEMPERATURE MINIMALE QUOTIDIENNE DE L'EAU DE MER;° C;
TMNX;TEMPERATURE MOYENNE SOUS ABRI QUOTIDIENNE A PARTIR DE (TN+TX)/2;° C;Température
TN;TEMPERATURE MINIMALE SOUS ABRI QUOTIDIENNE;° C;Température
TN50;TEMPERATURE MINI A +50CM QUOTIDIENNE;° C;
TNSOL;TEMPERATURE MINIMALE A +10CM QUOTIDIENNE;° C;
TNTXM;MOYENNE DE TN ET TX QUOTIDIEN;° C;
TSVM;TENSION DE VAPEUR MOYENNE QUOTIDIENNE;hPa;
TX;TEMPERATURE MAXIMALE SOUS ABRI QUOTIDIENNE;° C;Température
UM;HUMIDITE RELATIVE MOYENNE;%;Humidité
UN;HUMIDITE RELATIVE MINIMALE QUOTIDIENNE;%;Humidité
UV;RAYONNEMENT ULTRA VIOLET QUOTIDIEN;J/cm2;
UV_INDICEX;MAX DES INDICES UV HORAIRE; ;
UX;HUMIDITE RELATIVE MAXIMALE QUOTIDIENNE;%;Humidité
VERGLAS;OCCURRENCE DE VERGLAS;bool;
