Id_station;Id_omm;Nom_usuel;Latitude;Longitude;Altitude;Date_ouverture;Pack
01014002;;ARBENT;46.278167;5.669000;534;2003-10-01;RADOME
01027003;;BALAN_AERO;45.833000;5.106667;196;2014-05-26;ETENDU
01034004;;BELLEY;45.769333;5.688000;330;2001-09-13;RADOME
01064001;;VERIZIEU;45.777167;5.487167;281;2015-01-01;ETENDU
01071001;;CESSY;46.310333;6.080333;507;2002-05-01;RADOME
01072001;;CEYZERIAT_SAPC;46.204333;5.287667;260;1994-08-01;ETENDU
01089001;07482;AMBERIEU;45.976500;5.329333;250;1934-03-01;RADOME
01143002;;DIVONNE ZA;46.341500;6.139667;467;2003-10-01;ETENDU
01200002;;LA BALME SUR CERDON_SAPC;46.090000;5.482000;596;2004-12-01;ETENDU
01235001;;MARLIEUX;46.038500;5.044333;280;1956-01-01;ETENDU
01247003;;MIJOUX;46.378833;6.019333;1002;1929-01-01;ETENDU
01269001;;NANTUA;46.148167;5.607333;483;1852-01-01;ETENDU
01367002;;SAINT JULIEN SUR REYSSOUZE;46.403167;5.109833;189;1990-02-01;ETENDU
01384003;;ST RAMBERT CG01;45.950333;5.461000;296;2001-12-01;ETENDU
01414001;;SUTRIEU;45.916167;5.624667;878;2002-09-01;RADOME
02037002;;AULNOIS-SS-LAON;49.595667;3.610333;78;1988-10-01;RADOME
02058001;;BEAURIEUX;49.390333;3.732667;56;1949-12-01;ETENDU
02094001;;BLESMES;49.009667;3.462667;222;1985-12-01;RADOME
02110002;;BRAINE;49.351333;3.527000;61;1988-08-01;RADOME
02173002;;CHAUNY;49.633833;3.197833;83;1988-07-01;RADOME
02320001;07061;ST QUENTIN;49.818333;3.206000;98;1933-01-01;RADOME
02321002;;FONTAINE-LES-VV;49.837333;3.877833;186;1987-07-01;RADOME
02346001;;GIZY;49.599833;3.781000;75;1945-01-01;ETENDU
02381001;;HIRSON;49.922000;4.077167;165;1859-01-01;ETENDU
02471001;;MARTIGNY-COURPI;49.485667;3.693167;95;1955-12-01;ETENDU
02585001;;PARCY-ET-TIGNY;49.280167;3.331000;148;1954-08-01;ETENDU
02705001;;NIZY-LE-COMTE;49.566000;4.036500;90;1986-07-01;RADOME
02738001;;TERGNIER;49.663833;3.320667;59;1956-10-01;ETENDU
03036002;;BOURBON_SAPC;46.580000;3.049500;270;1993-05-01;ETENDU
03059001;;CHAREIL-CINTRAT_SAPC;46.275833;3.225667;286;1950-05-01;ETENDU
03060001;07374;VICHY-CHARMEIL;46.166667;3.398667;249;1941-01-01;RADOME
03061001;;CHARMES_SAPC;46.063500;3.233667;330;1995-08-01;ETENDU
03074001;;CHEVAGNES;46.630667;3.549167;228;1946-01-01;ETENDU
03100001;;DIOU;46.541667;3.706667;220;1883-01-01;ETENDU
